Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng,Tot_Dsg_Unts,Tot_Clms,Tot_Benes,Avg_Spnd_Per_Dsg_Unt_Wghtd,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Bene,Outlier_Flag,year
AIRDUO RESPICLICK,Fluticasone Propion/Salmeterol,1,Teva Specialty,89096.09,442.0,285.0,219.0,203.14093506,312.61785965,406.83146119,1.0,2017
AKTEN,Lidocaine HCl/PF,1,Akorn Inc.,2083.53,82.0,35.0,30.0,25.408902439,59.529428571,69.451,1.0,2017
AKYNZEO,Netupitant/Palonosetron HCl,1,Helsinn Therape,518958.91,960.0,626.0,220.0,540.58219792,829.00784345,2358.9041364,0.0,2017
ALDARA,Imiquimod,1,Bausch Health U,141123.49,2190.0,123.0,68.0,64.439949772,1147.3454472,2075.3454412,1.0,2017
ALECENSA,Alectinib HCl,1,"Genentech, Inc.",47520913.44,835271.192,3626.0,709.0,56.892795891,13105.602162,67025.265783,0.0,2017
ALIMTA,Pemetrexed Disodium,1,Eli Lilly & Co.,7894844.98,5440.0,1437.0,261.0,2430.6167738,5493.9770216,30248.448199,0.0,2017
ALINIA,Nitazoxanide,1,Romark Laborato,10043474.58,120070.0,5747.0,4305.0,84.532520927,1747.6030242,2332.9789965,0.0,2017
ALOCRIL,Nedocromil Sodium,1,Allergan Inc.,493838.09,12305.0,1888.0,814.0,40.133123933,261.56678496,606.68070025,0.0,2017
ALOMIDE,Lodoxamide Tromethamine,1,Alcon/Novartis,160636.04,10085.0,791.0,318.0,15.928214179,203.07969659,505.14477987,0.0,2017
ALPHAGAN P,Brimonidine Tartrate,1,Allergan Inc.,195705880.38,7418470.663,823822.0,188238.0,26.414355773,237.55845362,1039.6725442,0.0,2017
ALREX,Loteprednol Etabonate,1,Bausch Health U,11862676.13,302086.0,45036.0,20488.0,39.269201916,263.40430167,579.00605867,0.0,2017
ALTACE,Ramipril,1,Monarch Phrm,5457363.51,951239.0,12011.0,2440.0,5.7065042289,454.36379236,2236.6243893,0.0,2017
ALTOPREV,Lovastatin,1,Covis Pharma,2020403.25,84600.0,1471.0,408.0,23.881659627,1373.4896329,4951.96875,0.0,2017
AMARYL,Glimepiride,1,Sanofi-Aventis,1286435.08,438204.0,5054.0,1100.0,2.9729997592,254.53800554,1169.4864364,0.0,2017
AMBIEN,Zolpidem Tartrate,1,Sanofi-Aventis,13461517.91,819295.0,22284.0,4031.0,16.430639149,604.0889387,3339.4983652,0.0,2017
AMBIEN CR,Zolpidem Tartrate,1,Sanofi-Aventis,8612986.54,603695.0,16621.0,2424.0,14.278418826,518.19905782,3553.212269,1.0,2017
AMBISOME,Amphotericin B Liposome,1,Astellas Pharma,1161810.35,26466.7,474.0,102.0,43.897061213,2451.0766878,11390.297549,0.0,2017
AMERGE,Naratriptan HCl,1,Glaxosmithkline,474713.39,8349.0,568.0,116.0,56.857548623,835.76301056,4092.3568103,0.0,2017
AMITIZA,Lubiprostone,1,Takeda Pharmace,297693636.89,50565065.5,842001.0,189028.0,5.8874729843,353.55496833,1574.8652945,0.0,2017
AMPYRA,Dalfampridine,1,Acorda Therapeu,238698058.21,6296778.0,91986.0,12766.0,37.907967886,2594.938993,18697.952233,0.0,2017
AMRIX,Cyclobenzaprine HCl,1,Teva USA,8216074.36,248453.0,6447.0,1691.0,33.074572538,1274.4027237,4858.7074867,0.0,2017
ANDROGEL,Testosterone,1,Abbvie US LLC,268058931.05,36942066.256,303086.0,73927.0,7.4670370762,884.43191388,3625.9949822,0.0,2017
ANGELIQ,Drospirenone/Estradiol,1,"Bayer,Pharm Div",251462.96,45740.0,1057.0,257.0,5.4988959592,237.90251656,978.45509728,0.0,2017
ANORO ELLIPTA,Umeclidinium Brm/Vilanterol Tr,1,Glaxosmithkline,384778576.49,65056032.9,913869.0,229410.0,5.9145717828,421.04347175,1677.2528507,0.0,2017
ANTARA,"Fenofibrate,Micronized",1,Lupin Pharma,1249754.97,83901.0,1632.0,400.0,15.015913631,765.78123162,3124.387425,0.0,2017
APIDRA,Insulin Glulisine,1,Sanofi-Aventis,9012297.15,360165.0,12635.0,3470.0,25.022690017,713.28034428,2597.2037896,0.0,2017
APIDRA SOLOSTAR,Insulin Glulisine,1,Sanofi-Aventis,19045174.06,592273.0,25100.0,7710.0,32.156073399,758.7718749,2470.1911881,0.0,2017
APLENZIN,Bupropion HBr,1,Bausch Health U,7488654.56,83117.0,1946.0,324.0,92.003433082,3848.2294758,23113.131358,0.0,2017
APRI,Desogestrel-Ethinyl Estradiol,1,Teva USA,212280.92,393200.0,9735.0,1776.0,0.5398802645,21.805949666,119.52754505,0.0,2017
APRISO,Mesalamine,1,Salix Pharmaceu,89100441.94,24264419.0,166554.0,30593.0,3.6720616282,534.9642875,2912.445394,0.0,2017
APTENSIO XR,Methylphenidate HCl,1,Rhodes Pharmace,66590.79,9104.0,243.0,58.0,7.2807356117,274.03617284,1148.117069,0.0,2017
APTIOM,Eslicarbazepine Acetate,1,Sunovion Pharma,59722655.44,2106212.0,52415.0,6394.0,28.360922311,1139.4191632,9340.4215577,0.0,2017
APTIVUS,Tipranavir,1,Boehringer Ing.,2780380.01,219142.0,1756.0,196.0,12.687572487,1583.3599146,14185.612296,0.0,2017
ARAVA,Leflunomide,1,Sanofi-Aventis,1348931.0,35030.0,719.0,155.0,38.485891424,1876.1210014,8702.7806452,0.0,2017
ARESTIN,Minocycline HCl Microspheres,1,Orapharma,9513136.21,91328.0,3534.0,3362.0,104.16450826,2691.889137,2829.6062493,0.0,2017
ARICEPT,Donepezil HCl,1,Eisai Inc.,6201476.69,386296.0,7973.0,1658.0,16.029214614,777.80969397,3740.33576,0.0,2017
ARISTADA,Aripiprazole Lauroxil,1,Alkermes Inc,68762018.96,94700.855,33999.0,5936.0,726.05545238,2022.4718068,11583.898073,0.0,2017
ARIXTRA,Fondaparinux Sodium,1,Mylan Instituti,1160552.51,6125.2,306.0,64.0,194.36465103,3792.6552614,18133.632969,0.0,2017
ARNUITY ELLIPTA,Fluticasone Furoate,1,Glaxosmithkline,28812809.49,4700862.589,129486.0,39492.0,6.1248627639,222.51679324,729.58597919,0.0,2017
AROMASIN,Exemestane,1,Pharmaci/Pfizer,2575186.68,83234.0,1713.0,341.0,30.939119591,1503.3197198,7551.8670968,0.0,2017
ARTHROTEC 50,Diclofenac Sodium/Misoprostol,1,Pharmaci/Pfizer,521114.23,74059.0,866.0,210.0,7.0364740275,601.74853349,2481.4963333,0.0,2017
ARTHROTEC 75,Diclofenac Sodium/Misoprostol,1,Pharmaci/Pfizer,1672144.2,237924.0,2694.0,586.0,7.0280602209,620.69198218,2853.4883959,0.0,2017
ASACOL HD,Mesalamine,1,Allergan Inc.,31237862.28,4095001.0,24887.0,8087.0,7.6282917342,1255.1879407,3862.7256436,0.0,2017
ASTAGRAF XL,Tacrolimus,1,Astellas Pharma,410576.93,56625.999,664.0,117.0,9.2325753336,618.33875,3509.2045299,0.0,2017
ATELVIA,Risedronate Sodium,1,Actavis/Allerga,2577917.49,44870.0,8063.0,1524.0,57.453030756,319.72187647,1691.5469094,0.0,2017
ATRIPLA,Efavirenz/Emtricit/Tenofovr Df,1,Gilead Sciences,414990620.62,4826502.0,152093.0,18110.0,85.981653094,2728.5320207,22914.998378,0.0,2017
ATROVENT HFA,Ipratropium Bromide,1,Boehringer Ing.,127136526.11,4897703.0,309786.0,88849.0,25.95839848,410.40113533,1430.9280477,0.0,2017
AUBAGIO,Teriflunomide,1,Sanofi-Aventis,563479718.63,2567952.0,73871.0,10501.0,219.42762966,7627.8880566,53659.624667,0.0,2017
AUGMENTIN,Amoxicillin/Potassium Clav,1,Dr.Reddy'S Lab,138626.76,23109.0,169.0,155.0,6.7111294782,820.27668639,894.36619355,1.0,2017
AURYXIA,Ferric Citrate,1,Keryx Biopharma,64720711.97,12456373.0,55247.0,15379.0,5.1957910999,1171.479211,4208.3823376,0.0,2017
AUSTEDO,Deutetrabenazine,1,Teva USA,17547137.88,238637.0,3299.0,791.0,71.556439985,5318.9263049,22183.486574,0.0,2017
AUVI-Q,Epinephrine,1,"Kaleo, Inc.",1825095.74,808.0,319.0,298.0,2258.7021782,5721.3032602,6124.482349,0.0,2017
AVALIDE,Irbesartan/Hydrochlorothiazide,1,Sanofi-Aventis,1847944.08,255818.0,4442.0,848.0,7.2471976215,416.01622692,2179.1793396,0.0,2017
AVANDIA,Rosiglitazone Maleate,1,Glaxosmithkline,1066586.12,208994.0,2989.0,691.0,5.0693066825,356.8371094,1543.5399711,0.0,2017
AVAPRO,Irbesartan,1,Sanofi-Aventis,4737505.95,736425.0,13092.0,2495.0,6.4960794758,361.8626604,1898.79998,0.0,2017
AVEED,Testosterone Undecanoate,1,Endo Pharm Inc.,431718.17,1335.0,444.0,131.0,323.384397,972.33822072,3295.5585496,0.0,2017
AVITA,Tretinoin,1,Mylan,10536.6,3400.0,75.0,34.0,3.0991664455,140.488,309.9,0.0,2017
AVODART,Dutasteride,1,GSK/ Woodward P,7134625.96,1204905.0,23314.0,6122.0,5.921318245,306.02324612,1165.4077034,0.0,2017
AVYCAZ,Ceftazidime/Avibactam,1,Allergan Inc.,2664812.5,205961.75,763.0,202.0,12.938385404,3492.5458716,13192.141089,1.0,2017
AZASITE,Azithromycin,1,Akorn Inc.,6762442.08,97631.0,30769.0,15483.0,69.265316139,219.78101596,436.76561907,0.0,2017
AZILECT,Rasagiline Mesylate,1,Teva Neuroscien,63196442.87,2777466.5,72183.0,21559.0,22.754378818,875.50313606,2931.3253337,0.0,2017
AZOPT,Brinzolamide,1,Alcon/Novartis,135378605.8,5096538.758,405236.0,108533.0,26.562852208,334.07349248,1247.3497075,0.0,2017
AZOR,Amlodipine Bes/Olmesartan Med,1,"Daiichi Sankyo,",14122939.09,1523595.0,34329.0,9952.0,9.2882993379,411.39966471,1419.105616,0.0,2017
BACTRIM DS,Sulfamethoxazole/Trimethoprim,1,Caraco Pharma I,27829.37,11067.0,291.0,176.0,2.5146263667,95.633573883,158.12142045,0.0,2017
BANZEL,Rufinamide,1,Eisai Inc.,75647266.48,6134420.0,26479.0,2336.0,16.968908368,2856.8777703,32383.247637,0.0,2017
BARACLUDE,Entecavir,1,BMS Primarycare,7606251.26,247333.0,4851.0,861.0,42.478168122,1567.9759349,8834.2058769,0.0,2017
BECONASE AQ,Beclomethasone Dipropionate,1,Glaxosmithkline,2171320.23,195199.0,5866.0,1992.0,11.123623738,370.15346573,1090.0201958,0.0,2017
BELBUCA,Buprenorphine HCl,1,Biodelivery Sci,2073327.49,258965.0,4480.0,2368.0,7.9156110761,462.79631473,875.56059544,0.0,2017
BELLADONNA-OPIUM,Opium/Belladonna Alkaloids,1,Perrigo Co.,525817.44,20545.0,930.0,501.0,25.513268852,565.39509677,1049.5358084,0.0,2017
BELSOMRA,Suvorexant,1,Merck Sharp & D,60785554.16,5930859.5,190001.0,53116.0,10.249681844,319.92228546,1144.3925401,0.0,2017
BENDEKA,Bendamustine HCl,1,"Cephalon,Inc.-T",2197941.86,3604.9,255.0,65.0,609.70952315,8619.3798431,33814.490154,0.0,2017
BENICAR,Olmesartan Medoxomil,1,"Daiichi Sankyo,",112017605.04,14635333.07,301170.0,88346.0,7.7043574202,371.94144516,1267.9420125,0.0,2017
BENICAR HCT,Olmesartan/Hydrochlorothiazide,1,"Daiichi Sankyo,",67305525.04,8167508.0,172612.0,50829.0,8.2518180228,389.92378884,1324.1559944,0.0,2017
BEPREVE,Bepotastine Besilate,1,Bausch Health U,13191649.1,358122.6,48594.0,19886.0,36.835567205,271.46662345,663.36362768,0.0,2017
BESIVANCE,Besifloxacin HCl,1,Bausch Health U,37081263.62,1252757.4,247056.0,178966.0,29.59971629,150.09254428,207.19725322,0.0,2017
BETHKIS,Tobramycin,1,"Chiesi USA, Inc",307465.78,11984.0,59.0,17.0,25.656356809,5211.2844068,18086.222353,0.0,2017
BETIMOL,Timolol,1,Oak Pharmaceuti,5874018.7,255707.357,32981.0,10967.0,22.950771544,178.10311088,535.60852558,0.0,2017
BETOPTIC S,Betaxolol HCl,1,Alcon/Novartis,8706797.67,302116.0,22407.0,5622.0,28.819386163,388.5748949,1548.7011153,0.0,2017
BEVESPI AEROSPHERE,Glycopyrrolate/Formoterol Fum,1,Astrazeneca,13064145.29,417752.58,33912.0,15666.0,31.272446696,385.23665045,833.91710009,0.0,2017
BEYAZ,Drospir/Eth Estra/Levomefol Ca,1,"Bayer,Pharm Div",58472.12,9156.0,250.0,36.0,6.3862079511,233.88848,1624.2255556,0.0,2017
BIDIL,Isosorbide Dinit/Hydralazine,1,Arbor Pharmaceu,14803238.98,4709479.5,46163.0,10896.0,3.1432855754,320.67324437,1358.5938858,0.0,2017
BONIVA*,Ibandronate Sodium,1,Roche Labs.,1271077.67,6859.0,3055.0,934.0,185.31530398,416.06470376,1360.896863,0.0,2017
BOSULIF,Bosutinib,1,Pfizer US Pharm,72801637.42,447702.0,6436.0,924.0,227.02701084,11311.62794,78789.650887,0.0,2017
BREO ELLIPTA,Fluticasone/Vilanterol,1,Glaxosmithkline,812087461.7,150668414.25,2165377.0,533869.0,5.3899064207,375.03282879,1521.1361995,0.0,2017
BRILINTA,Ticagrelor,1,Astrazeneca,309637538.81,56059128.5,712998.0,157870.0,5.5237269982,434.27546614,1961.3450232,0.0,2017
BRISDELLE,Paroxetine Mesylate,1,Sebela Pharmace,22467.84,3720.0,92.0,75.0,6.0397419355,244.21565217,299.5712,0.0,2017
BRIVIACT*,Brivaracetam,1,UCB Pharma*,24720997.82,1660537.5,22223.0,3565.0,16.70445613,1112.4059677,6934.3612398,0.0,2017
BROMSITE,Bromfenac Sodium,1,Sun Pharmaceuti,6763420.07,134677.4,26457.0,17992.0,50.219413725,255.63820804,375.91263173,0.0,2017
BROVANA,Arformoterol Tartrate,1,Sunovion Pharma,18999009.15,2395564.0,31538.0,7101.0,7.930912783,602.41642305,2675.5399451,0.0,2017
BSS,Balanced Salt Irrig Soln No.2,1,Alcon Surgical,3205.0,3555.0,99.0,29.0,0.9015471167,32.373737374,110.51724138,0.0,2017
BUPHENYL,Sodium Phenylbutyrate,1,Horizon Therape,5256917.29,184290.0,289.0,32.0,30.965070704,18190.025225,164278.66531,0.0,2017
BUPRENEX,Buprenorphine HCl,1,Indivior Inc.,1264242.8,84031.0,441.0,37.0,15.044957218,2866.7637188,34168.724324,0.0,2017
BUTRANS,Buprenorphine,1,Purdue Pharma L,93645829.73,840655.286,207451.0,46283.0,110.97333589,451.41180197,2023.3310228,0.0,2017
BYDUREON BCISE,Exenatide Microspheres,1,Astrazeneca,92313.54,509.85,93.0,93.0,181.06019417,992.61870968,992.61870968,0.0,2017
BYDUREON PEN,Exenatide Microspheres,1,Astrazeneca,263092808.3,1704541.24,322814.0,67526.0,154.3481625,814.99813608,3896.1704869,0.0,2017
BYETTA,Exenatide,1,Astrazeneca,101916340.43,325754.8,105310.0,21737.0,348.58563958,967.7745744,4688.6111437,0.0,2017
BYSTOLIC,Nebivolol HCl,1,Forest/Allergan,376055574.9,95820570.06,1830423.0,338391.0,3.9246093822,205.44736102,1111.3048955,0.0,2017
CABOMETYX,Cabozantinib S-Malate,1,"Exelixis, Inc.",144146592.63,279620.0,8694.0,1998.0,515.5498338,16580.008354,72145.441757,0.0,2017
CADUET,Amlodipine/Atorvastatin,1,Pfizer/Viatris,4586157.3,316868.0,5192.0,1082.0,14.434293036,883.31226888,4238.5926987,0.0,2017
CALQUENCE,Acalabrutinib,1,Astrazeneca,705323.12,2940.0,49.0,38.0,239.90582313,14394.349388,18561.134737,0.0,2017
CAMBIA,Diclofenac Potassium,1,Assertio Therap,5018468.62,88247.0,6997.0,2209.0,56.868433148,717.23147349,2271.8282571,0.0,2017
CANASA,Mesalamine,1,Allergan Inc.,43992671.84,1364584.0,39897.0,15161.0,32.238888804,1102.6561355,2901.6998773,0.0,2017
CANCIDAS,Caspofungin Acetate,1,Merck Sharp & D,2655579.79,101506.42,1213.0,238.0,29.149971005,2189.2661088,11157.898277,1.0,2017
CAPRELSA,Vandetanib,1,Genzyme,2003922.68,7546.0,169.0,84.0,287.98096006,11857.530651,23856.222381,0.0,2017
CARAC,Fluorouracil,1,Bausch Health U,2576108.0,31710.0,901.0,675.0,81.239608956,2859.1653718,3816.4562963,0.0,2017
CARAFATE,Sucralfate,1,Aptalis/Allerga,97534589.83,230652865.33,344593.0,132695.0,0.4308803321,283.04286457,735.02837206,0.0,2017
CARBATROL,Carbamazepine,1,Shire US Inc.,5730859.18,3218429.0,24672.0,3264.0,1.7804879175,232.2819058,1755.777935,0.0,2017
CARDIZEM,Diltiazem HCl,1,Bausch Health U,523546.46,68148.0,471.0,125.0,7.7648306599,1111.5636093,4188.37168,0.0,2017
CARDIZEM CD,Diltiazem HCl,1,Bausch Health U,5517592.11,163068.0,2451.0,677.0,35.095698049,2251.1595716,8150.0622009,0.0,2017
CARDIZEM LA,Diltiazem HCl,1,Bausch Health U,4817723.87,1507239.0,22099.0,6550.0,3.2797598149,218.00641975,735.53036183,0.0,2017
CARDURA XL,Doxazosin Mesylate,1,Pfizer/Viatris,682643.52,148260.0,2751.0,820.0,4.6034745854,248.14377317,832.49209756,0.0,2017
CARNITOR,Levocarnitine (With Sugar),1,Leadiant Biosci,83873.68,307900.0,506.0,148.0,0.2724055862,165.75826087,566.71405405,0.0,2017
CARNITOR SF,Levocarnitine,1,Leadiant Biosci,33955.82,99509.0,207.0,55.0,0.3412336573,164.03777778,617.37854545,0.0,2017
CARNITOR*,Levocarnitine,1,Leadiant Biosci*,249870.1,386612.92,1302.0,236.0,0.7450332865,191.9125192,1058.7716102,0.0,2017
CATAPRES,Clonidine HCl,1,Boehringer Ing.,781590.11,266224.0,2163.0,453.0,2.9851407396,361.34540453,1725.3644812,0.0,2017
CATAPRES-TTS 1,Clonidine,1,Boehringer Ing.,375700.01,7187.0,1267.0,292.0,52.274942257,296.52723757,1286.6438699,0.0,2017
CATAPRES-TTS 2,Clonidine,1,Boehringer Ing.,1482567.8,16107.0,2534.0,490.0,92.044936984,585.07016575,3025.6485714,0.0,2017
CATAPRES-TTS 3,Clonidine,1,Boehringer Ing.,2676621.91,21281.0,3262.0,628.0,125.7751943,820.54626303,4262.1367994,0.0,2017
CAYSTON,Aztreonam Lysine,1,Gilead Sciences,27882927.54,278046.0,3303.0,936.0,100.28170713,8441.6977112,29789.4525,0.0,2017
CELEBREX,Celecoxib,1,Pfizer/Viatris,35621454.31,3499346.0,52019.0,13390.0,10.272282985,684.77776024,2660.3027864,0.0,2017
CELESTONE,"Betamethasone Acetate,Sod Phos",1,Merck Sharp & D,1513.59,205.0,41.0,36.0,7.3833658537,36.916829268,42.044166667,1.0,2017
CELLCEPT,Mycophenolate Mofetil,1,"Genentech, Inc.",12438040.01,984311.0,6217.0,1061.0,13.349312824,2000.6498327,11722.940631,0.0,2017
CENTANY,Mupirocin,1,Medimetriks Pha,15529.78,2100.0,43.0,24.0,7.3951333333,361.15767442,647.07416667,0.0,2017
CERDELGA,Eliglustat Tartrate,1,Genzyme,15314836.8,35672.0,620.0,68.0,429.32374972,24701.349677,225218.18824,0.0,2017
CEREZYME,Imiglucerase,1,Genzyme,11322877.61,11687.0,532.0,40.0,968.84381022,21283.60453,283071.94025,1.0,2017
CHANTIX,Varenicline Tartrate,1,Pfizer US Pharm,213265449.64,32513882.122,567396.0,241528.0,6.5694041478,375.8670305,882.98437299,0.0,2017
CIALIS,Tadalafil,1,Eli Lilly & Co.,130577264.71,12683075.0,314087.0,62815.0,14.084582097,415.7359735,2078.7592885,0.0,2017
CIPRO,Ciprofloxacin,1,"Bayer,Pharm Div",392311.86,282274.0,2308.0,1872.0,1.4033201936,169.97914211,209.56830128,0.0,2017
CIPRO,Ciprofloxacin HCl,1,"Bayer,Pharm Div",126652.58,22895.0,1042.0,625.0,5.5251248556,121.54758157,202.644128,0.0,2017
CIPRO HC,Ciprofloxacin/Hydrocortisone,1,Alcon/Novartis,3406300.95,120184.5,11777.0,10467.0,28.342265018,289.23333192,325.43240183,0.0,2017
CLEOCIN,Clindamycin Phosphate,1,Pharmaci/Pfizer,238868.64,5481.0,1157.0,923.0,51.125443256,206.45517718,258.79592633,0.0,2017
CLEOCIN HCL,Clindamycin HCl,1,Pharmaci/Pfizer,48034.4,4854.0,175.0,121.0,11.526917288,274.48228571,396.9785124,0.0,2017
CLEOCIN PHOSPHATE*,Clindamycin Phosphate,1,Pharmaci/Pfizer*,27415.02,133071.984,429.0,189.0,0.2066942511,63.904475524,145.05301587,0.0,2017
CLEOCIN T,Clindamycin Phosphate,1,Pharmaci/Pfizer,26164.21,8501.6,125.0,62.0,3.0726147946,209.31368,422.0033871,0.0,2017
CLIMARA,Estradiol,1,"Bayer,Pharm Div",4731253.92,293821.0,29905.0,8464.0,16.166435509,158.20946063,558.98557656,0.0,2017
CLIMARA PRO,Estradiol/Levonorgestrel,1,"Bayer,Pharm Div",2388774.65,54355.0,9010.0,2076.0,43.94765247,265.12482242,1150.6621628,0.0,2017
CLINDAGEL,Clindamycin Phosphate,1,Bausch Health U,1053138.6,49218.5,597.0,429.0,21.397210399,1764.0512563,2454.8685315,0.0,2017
CLINDESSE,Clindamycin Phosphate,1,Perrigo Co.,105461.53,4719.367,815.0,668.0,22.34654139,129.40065031,157.87654192,0.0,2017
CLOBEX,Clobetasol Propionate,1,Galderma Labora,955955.45,311740.0,2900.0,1583.0,3.0321815126,329.63981034,603.88847126,0.0,2017
COARTEM,Artemether/Lumefantrine,1,Novartis,97319.36,19057.0,375.0,139.0,5.106751325,259.51829333,700.13928058,0.0,2017
COLAZAL,Balsalazide Disodium,1,Salix Pharmaceu,334524.28,78404.0,205.0,64.0,4.2666736391,1631.8257561,5226.941875,0.0,2017
COLCRYS,Colchicine,1,Takeda Pharmace,141146161.93,20818254.0,529880.0,185645.0,6.7799231352,266.37382413,760.30144593,0.0,2017
COLESTID,Colestipol HCl,1,Pharmaci/Pfizer,301012.63,144154.0,736.0,222.0,3.5060564388,408.98455163,1355.9127477,0.0,2017
COMBIGAN,Brimonidine Tartrate/Timolol,1,Allergan Inc.,278412433.22,9471983.596,1240281.0,268894.0,29.393255425,224.47528683,1035.3984589,0.0,2017
COMBIPATCH,Estradiol/Norethindrone Acet,1,Noven Therapeut,2486498.75,126995.0,11130.0,2691.0,19.582043247,223.40509883,924.00548123,0.0,2017
COMBIVENT RESPIMAT,Ipratropium/Albuterol Sulfate,1,Boehringer Ing.,508142913.54,5866513.028,1173246.0,287074.0,86.617537728,433.10858382,1770.0764038,0.0,2017
COMBIVIR,Lamivudine/Zidovudine,1,Viiv Healthcare,1134793.65,75424.0,1171.0,165.0,15.045524634,969.08082835,6877.5372727,0.0,2017
COMETRIQ,Cabozantinib S-Malate,1,"Exelixis, Inc.",10007057.11,54759.0,843.0,169.0,190.61109836,11870.767628,59213.35568,0.0,2017
COMPLERA,Emtricita/Rilpivirine/Tenof Df,1,Gilead Sciences,109024980.62,1241989.0,40308.0,5259.0,87.782565401,2704.7975742,20731.123906,0.0,2017
