,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Tot_Benes_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Avg_Spnd_Per_Bene_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Chg_Avg_Spnd_Per_Dsg_Unt_20_21,CAGR_Avg_Spnd_Per_Dsg_Unt_17_21
10,ACTHIB,Haemoph B Poly Conj-Tet Tox/PF,1,Sanofi-Pasteur,13600.64,425.0,422.0,378.0,32.00150588,32.22900474,35.9805291,1.0,27574.35,815.9,786.0,704.0,33.79623728,35.08187023,39.1681108,1.0,44034.23,1129.0,1132.0,949.0,39.00286094,38.89949647,46.40066386,1.0,44405.72,1147.6,1151.0,953.0,38.69442314,38.58012163,46.59571878,1.0,49583.46,1413.0,1418,1124.0,35.09091295,34.96717913,44.11339858,0,-0.093127379,0.023307278
11,ACTOS,Pioglitazone HCl,1,Takeda Pharmace,3428174.99,195724.0,3750.0,808.0,17.55402487,914.1799973,4242.790829,0.0,2784260.16,159372.0,2982.0,632.0,17.42415825,933.6888531,4405.474937,0.0,2293887.44,132352.0,2461.0,546.0,17.30214151,932.0956684,4201.259048,0.0,2092475.64,120551.0,2035.0,481.0,17.34903865,1028.243558,4350.261206,0.0,1749928.48,98359.0,1619,378.0,17.84428421,1080.869969,4629.440423,0,0.028545995,0.004108412
12,ACULAR,Ketorolac Tromethamine,1,Allergan Inc.,104264.23,2805.0,429.0,220.0,37.17084849,243.0401632,473.9283182,0.0,89458.99,2401.0,383.0,216.0,37.25905456,233.5743864,414.1619907,0.0,73030.12,1865.0,297.0,177.0,39.15824129,245.8926599,412.599548,0.0,92184.89,2245.0,353.0,214.0,41.0623118,261.1469972,430.770514,0.0,64615.68,1325.0,195,94.0,48.76655094,331.3624615,687.4008511,1,0.187623122,0.070236828
13,ACULAR LS,Ketorolac Tromethamine,1,Allergan Inc.,62510.71,1300.0,207.0,97.0,48.08516154,301.9841063,644.4403093,0.0,55760.95,1170.0,183.0,87.0,47.65893162,304.7046448,640.9304598,1.0,42093.7,895.0,128.0,61.0,47.03206704,328.8570313,690.0606557,1.0,36788.28,750.0,124.0,67.0,49.05104,296.6796774,549.078806,1.0,22762.86,435.0,66,36.0,52.32841379,344.8918182,632.3016667,0,0.066815582,0.021366532
14,ACUVAIL,Ketorolac Tromethamine/PF,1,Allergan Inc.,349931.47,38222.0,826.0,408.0,9.155237036,423.6458475,857.6751716,0.0,350759.69,34304.0,774.0,343.0,10.22503761,453.1778941,1022.623003,0.0,292214.13,27503.0,587.0,274.0,10.62480929,497.8094208,1066.474927,0.0,215551.35,20437.0,392.0,172.0,10.54711308,549.8758929,1253.205523,0.0,221208.02,19678.0,381,166.0,11.24138734,580.5984777,1332.578434,0,0.065825999,0.052658689
15,ADACEL TDAP,"Diph,Pertuss(Acell),Tet Vac/PF",1,Sanofi-Pasteur,9988685.14,109519.346,169401.0,168821.0,91.35791522,58.96473539,59.16731414,0.0,10979499.3,136138.246,191707.0,190954.0,80.80547293,57.27229209,57.49813725,0.0,11033494.81,119121.61,182346.0,181747.0,92.67117642,60.50856509,60.70798863,0.0,10274095.02,125262.552,171777.0,171363.0,82.36395309,59.81065579,59.9551538,0.0,10684013.34,135947.25,177914,177467.0,79.57798653,60.05156053,60.20281709,0,-0.033825071,-0.033923114
16,ADRENALIN,Epinephrine,1,Par Pharmaceuti,8113.79,1403.0,265.0,170.0,13.77334787,30.61807547,47.72817647,0.0,21787.27,7243.4,490.0,395.0,2.825993478,44.46381633,55.15764557,1.0,13254.02,5026.0,380.0,313.0,2.464027386,34.879,42.34511182,1.0,16833.39,1175.0,468.0,416.0,16.15549819,35.96878205,40.46487981,0.0,27653.32,1873.0,992,925.0,15.80272384,27.87633065,29.89548108,0,-0.021836179,0.034958912
17,ADVAIR DISKUS,Fluticasone Propion/Salmeterol,1,Glaxosmithkline,2373802297.0,381676276.4,4879510.0,1134814.0,6.221330811,486.4837448,2091.798566,0.0,2393807457.0,356738339.2,4398315.0,1030947.0,6.705781245,544.2555745,2321.950069,0.0,1449199813.0,226583917.6,2681911.0,769276.0,6.384607727,540.3608894,1883.848987,0.0,1160474903.0,184579142.0,2174106.0,527430.0,6.287771288,533.7710777,2200.244398,0.0,1007644269.0,148034748.1,1715666,427565.0,6.803863428,587.3196001,2356.704288,0,0.082078708,0.022628926
18,ADVOCATE PEN NEEDLE,"Pen Needle, Diabetic",1,Diabetic Supply,11333.12,20890.0,145.0,98.0,0.542514122,78.15944828,115.6440816,0.0,99685.13,178610.0,1282.0,745.0,0.558116175,77.7575117,133.8055436,0.0,176740.05,297000.0,2021.0,1177.0,0.595084343,87.4517813,150.1614698,0.0,232112.86,360426.0,2242.0,999.0,0.643995883,103.5293756,232.3452052,0.0,431446.13,662704.0,3750,1952.0,0.651038971,115.0523013,221.0277305,0,0.010936542,0.046643992
19,ADVOCATE PEN NEEDLES,"Pen Needle, Diabetic",1,Diabetic Supply,753553.94,1624509.0,13873.0,4778.0,0.463645894,54.3180235,157.7132566,0.0,1480139.85,3118960.0,24472.0,8093.0,0.474441163,60.48299485,182.8913691,0.0,1659681.1,3066628.666,26142.0,9128.0,0.541236928,63.48715095,181.8230828,0.0,2270106.92,3675993.0,30625.0,10261.0,0.61757216,74.12594025,221.2364214,0.0,2172889.98,3424866.0,27376,9547.0,0.634256659,79.372077,227.5992437,0,0.027016274,0.081482893
20,ADVOCATE SYRINGES,"Syring-Needl,Disp,Insul,0.3 Ml",1,Diabetic Supply,49487.25,99446.0,1355.0,410.0,0.497417136,36.52195572,120.7006098,0.0,75711.5,152813.0,1886.0,544.0,0.495134582,40.14395546,139.1755515,0.0,101128.01,190445.0,2338.0,732.0,0.531969235,43.25406758,138.1530191,0.0,147149.62,220340.0,2594.0,801.0,0.667621671,56.72691596,183.7073908,0.0,152107.24,222450.0,2699,833.0,0.683593909,56.35688774,182.6017287,0,0.023924084,0.082727981
21,ADVOCATE SYRINGES,"Syringe And Needle,Insulin,1ml",1,Diabetic Supply,165632.24,345647.0,3511.0,1145.0,0.480050574,47.17523213,144.6569782,0.0,304063.64,644564.0,5426.0,1771.0,0.47249287,56.0382676,171.690367,0.0,271580.82,525813.0,5494.0,1795.0,0.517286381,49.43225701,151.298507,0.0,359573.74,538377.0,5720.0,1860.0,0.667580819,62.86254196,193.3192151,0.0,368312.06,547116.0,6069,1809.0,0.672976939,60.6874378,203.5998121,0,0.008083097,0.088123769
22,ADVOCATE SYRINGES,"Syringe-Needle,Insulin,0.5 Ml",1,Diabetic Supply,155444.32,319674.0,3641.0,1164.0,0.486229214,42.69275474,133.5432302,0.0,244656.42,510744.0,5600.0,1684.0,0.479690134,43.68864643,145.2829097,0.0,299378.29,576406.0,6687.0,1985.0,0.519259619,44.77019441,150.8202972,0.0,373103.59,570425.0,6601.0,1985.0,0.653046491,56.52228299,187.9615063,0.0,347786.89,517254.0,5984,1757.0,0.672298176,58.11946691,197.9435914,0,0.029479807,0.084376809
23,ADZENYS XR-ODT,Amphetamine,1,Neos Brands/Ayt,188108.25,19082.0,575.0,187.0,9.857921468,327.1447826,1005.926471,0.0,326765.14,30393.0,843.0,200.0,10.7514103,387.6217556,1633.8257,0.0,441111.93,37843.0,1068.0,191.0,11.65749259,413.0261517,2309.486545,0.0,490522.7,37955.0,1073.0,183.0,12.92277287,457.150699,2680.451913,0.0,545688.01,36506.0,1041,188.0,14.94476864,524.195975,2902.595798,0,0.156467639,0.109624304
24,AGRYLIN,Anagrelide HCl,1,Shire US Inc.,283667.15,36799.0,321.0,65.0,7.708555939,883.6982866,4364.11,0.0,212176.42,26646.0,224.0,41.0,7.96278691,947.2161607,5175.034634,0.0,396277.16,50194.0,432.0,206.0,7.894910946,917.3082407,1923.675534,0.0,1931960.65,241430.0,2376.0,644.0,8.002156526,813.1147517,2999.938898,0.0,552597.64,68167.0,572,123.0,8.106527205,966.0797902,4492.66374,0,0.013042819,0.012664193
25,AK-POLY-BAC,Bacitracin/Polymyxin B Sulfate,1,Akorn Inc.,13353.49,2893.5,802.0,655.0,4.61499568,16.65023691,20.38700763,0.0,4002.05,878.5,247.0,199.0,4.555549232,16.20263158,20.11080402,0.0,18099.17,4050.5,1110.0,918.0,4.468379212,16.30555856,19.71587146,0.0,17092.66,3861.0,992.0,784.0,4.427003367,17.23050403,21.80186225,0.0,4813.22,1145.5,317,245.0,4.20185072,15.18365931,19.64579592,0,-0.050858928,-0.023173731
26,AKTEN,Lidocaine HCl/PF,1,Akorn Inc.,2083.53,82.0,35.0,30.0,25.40890244,59.52942857,69.451,1.0,2452.77,94.0,53.0,45.0,26.09329787,46.27867925,54.506,0.0,6595.63,274.0,89.0,66.0,24.07164234,74.10820225,99.93378788,0.0,2536.83,106.0,48.0,25.0,23.93235849,52.850625,101.4732,0.0,2993.63,114.0,44,34.0,26.25991228,68.03704546,88.04794118,0,0.097255513,0.008269991
27,ALA-CORT,Hydrocortisone,1,Crown Laborator,1104.04,2331.6,69.0,54.0,0.473253389,16.00057971,20.44518519,0.0,310.1,1986.0,66.0,57.0,0.156725921,4.698484849,5.440350877,0.0,293.84,1767.2,48.0,41.0,0.166690522,6.121666667,7.166829268,0.0,4117.78,18037.2,502.0,443.0,0.228256606,8.202749004,9.295214447,0.0,14670.12,34166.4,987,834.0,0.42933106,14.86334347,17.59007194,0,0.880914061,-0.024056572
28,ALCOHOL SWAB,Alcohol Antiseptic Pads,1,Amerisource-Gnp,237040.73,5757777.0,36888.0,20902.0,0.041168793,6.425957764,11.3405765,0.0,69536.31,3022965.0,24341.0,8771.0,0.023002685,2.856756501,7.927979706,0.0,136433.95,4387510.0,36936.0,11105.0,0.031095986,3.693793318,12.2858127,0.0,119032.03,5365521.235,38363.0,19780.0,0.022184616,3.102782108,6.01779727,0.0,116618.54,4945766.0,39230,13621.0,0.02357947,2.972687739,8.561672418,0,0.062874807,-0.130055644
29,ALDACTAZIDE,Spironolact/Hydrochlorothiazid,1,Pharmaci/Pfizer,299258.8,88553.0,1504.0,429.0,3.47312383,198.975266,697.5729604,0.0,222849.82,62909.0,1064.0,337.0,3.687524407,209.4453196,661.2754303,0.0,239456.54,65014.0,1047.0,322.0,3.83502433,228.707297,743.6538509,0.0,241764.08,63603.0,975.0,291.0,3.934728685,247.963159,830.8043986,0.0,222415.66,53966.0,834,266.0,4.160675455,266.6854437,836.1490977,0,0.057423723,0.046190792
30,ALDACTONE,Spironolactone,1,Pharmaci/Pfizer,725594.0,240878.0,3214.0,802.0,2.963542081,225.7604232,904.7306733,0.0,640482.5,209500.0,2851.0,789.0,3.113043143,224.6518765,811.7648923,0.0,611625.55,196969.0,2456.0,656.0,3.137045159,249.0332044,932.3560213,0.0,591299.16,173113.0,2084.0,605.0,3.384470316,283.7328023,977.3539835,0.0,624110.71,183893.0,2148,619.0,3.343851077,290.5543343,1008.256397,0,-0.012001653,0.03064466
31,ALDARA,Imiquimod,1,Bausch Health U,141123.49,2190.0,123.0,68.0,64.43994977,1147.345447,2075.345441,1.0,28087.51,2553.0,172.0,98.0,11.00176655,163.2994767,286.6072449,1.0,13506.61,1764.0,95.0,51.0,7.65680839,142.1748421,264.8354902,0.0,5775.05,836.0,59.0,37.0,6.907954546,97.88220339,156.0824324,0.0,7179.95,1036.0,67,39.0,6.930453668,107.1634328,184.1012821,0,0.003256988,-0.427333712
32,ALECENSA,Alectinib HCl,1,"Genentech, Inc.",47520913.44,835271.192,3626.0,709.0,56.89279589,13105.60216,67025.26578,0.0,64635716.51,1048698.0,4690.0,806.0,61.63425172,13781.60267,80193.19666,0.0,84214133.36,1337064.0,5957.0,930.0,62.98436975,14137.00409,90552.83157,0.0,105142346.5,1609672.0,7255.0,1011.0,65.31911252,14492.39786,103998.3645,0.0,125219804.2,1833208.0,8289,1112.0,68.30638107,15106.74439,112607.7376,0,0.045733453,0.046769355
33,ALOCRIL,Nedocromil Sodium,1,Allergan Inc.,493838.09,12305.0,1888.0,814.0,40.13312393,261.566785,606.6807003,0.0,439814.02,9865.0,1545.0,663.0,44.58327623,284.6692686,663.3695626,0.0,379698.22,8470.0,1347.0,578.0,44.8285974,281.8843504,656.9173356,0.0,312953.46,6985.0,1078.0,444.0,44.80364495,290.3093321,704.8501351,0.0,262378.82,5495.0,858,381.0,47.74864786,305.8028205,688.6583202,0,0.065731324,0.044394384
34,ALOGLIPTIN,Alogliptin Benzoate,1,Perrigo/Padagis,3612415.37,585765.0,13914.0,4734.0,6.167119414,259.6245055,763.0788699,0.0,7269829.64,1196400.0,26372.0,8106.0,6.077058062,275.6647065,896.8455021,0.0,9623213.96,1608525.0,42469.0,12233.0,5.983117059,226.593844,786.6601782,0.0,16588328.76,2754229.5,69673.0,16442.0,6.025026897,238.0883378,1008.899694,0.0,17733480.54,3034791.0,79751,20204.0,5.838423458,222.3606041,877.7212701,0,-0.030971387,-0.013599444
35,ALOGLIPTIN-METFORMIN,Alogliptin Benz/Metformin HCl,1,Perrigo/Padagis,812351.92,263061.0,3359.0,1128.0,3.087856076,241.843382,720.1701418,0.0,1276456.43,415083.0,4800.0,1444.0,3.075317868,265.9284229,883.972597,0.0,1606779.13,569728.0,7582.0,1999.0,2.820024877,211.9202229,803.7914607,0.0,1021109.17,336692.0,3977.0,1562.0,3.031543856,256.7536259,653.7190589,0.0,1255547.56,425457.0,5096,1772.0,2.951118531,246.3790345,708.5482844,0,-0.026529494,-0.011259324
36,ALOMIDE,Lodoxamide Tromethamine,1,Alcon/Novartis,160636.04,10085.0,791.0,318.0,15.92821418,203.0796966,505.1447799,0.0,156348.28,9087.5,700.0,293.0,17.20476259,223.3546857,533.6118771,0.0,118084.81,6850.0,543.0,249.0,17.23865839,217.4674217,474.2361847,0.0,111090.89,6460.0,486.0,201.0,17.1967322,228.5820782,552.690995,0.0,101314.34,5830.0,446,177.0,17.37810292,227.1621973,572.3974011,0,0.010546813,0.022018647
37,ALPRAZOLAM INTENSOL,Alprazolam,1,Roxane/West-War,35940.26,11333.51,299.0,182.0,3.171149979,120.2015385,197.473956,0.0,30529.67,10134.5,263.0,155.0,3.012449554,116.0823954,196.9656129,0.0,53181.2,17594.5,367.0,173.0,3.022603655,144.9079019,307.4057804,0.0,52730.68,16841.0,352.0,166.0,3.131089603,149.8030682,317.6546988,0.0,25615.89,8687.0,228,133.0,2.948761368,112.3503947,192.6006767,0,-0.058231561,-0.018013061
38,ALPRAZOLAM XR,Alprazolam,1,Greenstone LLC.,622338.5,1178218.0,21951.0,4886.0,0.533506232,28.35125962,127.3717765,0.0,605189.7,777681.0,14956.0,3900.0,0.791804137,40.46467638,155.1768462,0.0,663470.79,945971.0,18413.0,4509.0,0.713919509,36.0327372,147.143666,0.0,842657.6,1243804.0,24581.0,5189.0,0.697464826,34.28085106,162.3930623,0.0,783785.74,1141306.0,22795,4772.0,0.703714652,34.38410792,164.2468022,0,0.008960776,0.071677898
39,ALREX,Loteprednol Etabonate,1,Bausch Health U,11862676.13,302086.0,45036.0,20488.0,39.26920192,263.4043017,579.0060587,0.0,12287973.64,286820.0,42101.0,19127.0,42.84210878,291.8689257,642.4412422,0.0,11805100.88,260945.0,38446.0,17973.0,45.23980486,307.0566738,656.824174,0.0,9764844.53,201725.0,30393.0,13857.0,48.40671474,321.2859714,704.686767,0.0,10098000.9,195815.0,29355,14097.0,51.56908766,343.9959428,716.3226857,0,0.06532922,0.070494261
40,ALYACEN,Norethindrone-Ethin. Estradiol,1,Glenmark Pharma,105355.61,181861.0,4379.0,1032.0,0.581178628,24.05928523,102.0887694,0.0,119714.1,199624.0,4693.0,1226.0,0.603182112,25.50907735,97.64608483,0.0,160799.04,247701.0,5349.0,1243.0,0.65318099,30.0615143,129.3636685,0.0,189208.05,287892.0,6066.0,1303.0,0.658994365,31.19156776,145.2095549,0.0,199928.62,304338.0,6501,1384.0,0.661430877,30.75351792,144.4570954,0,0.003697319,0.032865348
41,AMABELZ,Estradiol/Norethindrone Acet,1,Lupin Pharmaceu,959556.7,337940.0,4746.0,1622.0,2.838113988,202.1821955,591.5885943,0.0,970984.45,366540.0,5349.0,1729.0,2.645421555,181.5263507,561.5873048,0.0,825165.37,336611.0,4650.0,1564.0,2.450055198,177.4549183,527.5993414,0.0,573345.74,269590.0,3567.0,1155.0,2.126899144,160.73612,496.4032381,0.0,523412.38,270566.0,3600,1222.0,1.935429836,145.3923278,428.3243699,0,-0.090022749,-0.091265745
42,AMARYL,Glimepiride,1,Sanofi-Aventis,1286435.08,438204.0,5054.0,1100.0,2.972999759,254.5380055,1169.486436,0.0,1167864.63,391866.0,4469.0,935.0,2.976550456,261.3257172,1249.05308,0.0,1022041.6,343061.0,3901.0,852.0,2.991128013,261.9947706,1199.579343,0.0,936987.03,314815.0,3262.0,731.0,2.968935346,287.2431116,1281.788003,0.0,800348.07,262751.0,2559,596.0,3.044157683,312.758136,1342.865889,0,0.025336469,0.005930712
43,AMBISOME,Amphotericin B Liposome,1,Astellas Pharma,1161810.35,26466.7,474.0,102.0,43.89706121,2451.076688,11390.29755,0.0,746873.35,22549.57,469.0,93.0,33.12140099,1592.48049,8030.896237,0.0,1397988.6,13458.5,618.0,154.0,103.8740276,2262.117476,9077.848052,1.0,1682796.84,22034.85,652.0,155.0,76.36978877,2580.976749,10856.75381,1.0,1974072.89,26806.84,693,185.0,73.64064134,2848.590029,10670.66427,1,-0.035735956,0.138074071
44,AMCINONIDE,Amcinonide,1,Fougera/Sandoz,699946.52,139960.0,2022.0,1134.0,5.051091476,346.1654402,617.2367901,0.0,387351.9,79005.0,954.0,541.0,4.922790283,406.0292453,715.9924214,0.0,243326.37,46005.0,701.0,374.0,5.312039927,347.113224,650.6052674,0.0,161625.33,29370.0,507.0,258.0,5.503254454,318.7876331,626.4547674,0.0,123410.35,23100.0,390,236.0,5.342596717,316.4367949,522.9252119,0,-0.029193223,0.014125702
45,AMERGE,Naratriptan HCl,1,Glaxosmithkline,474713.39,8349.0,568.0,116.0,56.85754862,835.7630106,4092.35681,0.0,501019.1,8889.0,612.0,113.0,56.36209453,818.6586601,4433.797345,0.0,463701.88,8089.0,572.0,107.0,57.32036442,810.6676224,4333.66243,0.0,513604.27,8904.0,573.0,108.0,57.67850665,896.3425305,4755.595093,0.0,444943.58,7585.0,464,96.0,58.64355582,958.9301293,4634.828958,0,0.016731521,0.007762146
46,AMETHIA,L-Norgest/E.Estradiol-E.Estrad,1,Mayne Pharma In,124368.08,86049.0,939.0,493.0,1.445316971,132.4473695,252.2679108,0.0,79153.79,49574.0,542.0,284.0,1.596679509,146.040203,278.7105282,0.0,60776.52,39465.0,440.0,208.0,1.540010642,138.1284546,292.1948077,0.0,58349.5,39032.0,433.0,238.0,1.494914429,134.756351,245.1659664,0.0,36046.88,31577.0,344,172.0,1.141554929,104.7874419,209.5748837,0,-0.236374399,-0.057278465
47,AMETHYST,Levonorgestrel/Ethin.Estradiol,1,Actavis/Teva,50599.78,38500.0,903.0,189.0,1.31428,56.0351938,267.7237037,0.0,56853.2,38584.0,832.0,176.0,1.473491603,68.33317308,323.0295455,0.0,55136.94,38500.0,820.0,173.0,1.432128312,67.24017073,318.7106358,0.0,50941.13,35196.0,694.0,167.0,1.447355665,73.40220461,305.0367066,0.0,41429.63,31192.0,606,141.0,1.328213324,68.36572607,293.8271631,0,-0.082317252,0.0026399
48,AMICAR,Aminocaproic Acid,1,Clover Pharmace,6926443.39,417123.878,2755.0,1317.0,18.54500288,2514.135532,5259.258459,0.0,6755554.68,386303.274,2646.0,1200.0,19.12473207,2553.119683,5629.6289,0.0,3647619.13,230485.127,1317.0,603.0,17.02941979,2769.642468,6049.119619,0.0,988283.28,67454.485,346.0,182.0,15.91083155,2856.310058,5430.127912,0.0,549561.6,33562.549,173,80.0,17.33625904,3176.656647,6869.52,0,0.089588498,-0.016708872
